,daysOnMarket,id,address
0,0,1747301,252 South Street #40E
1,0,1747284,500 West 18th Street WEST-30C
2,0,1747271,58 West 58th Street #31C
3,1,1747229,320 East 57th Street #PHA
4,1,1747228,345 East 56th Street #10F
5,1,1747222,411 East 57th Street #11AB
6,1,1747189,428 West 19th Street #7D
7,1,1747178,416 West 52nd Street #520
8,1,1747150,311 East 38th Street #19A
9,2,1747122,53 West 53rd Street #50B
10,2,1747063,448 West 37th Street #5F
11,2,1747055,56 Leonard Street #47W
12,3,1747049,400 Park Avenue South #25G
13,4,1747037,77 Greenwich Street #37A
14,4,1747025,430 East 58th Street #PH77
